,Cities,Latitude,Cloudiness,Humidity,Temperature,Wind Speed
228,onda,39.97,75,87,284.94,3.1
229,saint anthony,45.02,1,32,285.01,3.1
230,bandar,2.05,99,86,296.77,0.96
231,katsuura,35.13,75,87,284.04,3.6
232,wewak,-3.55,64,86,297.85,2.5
233,ilulissat,69.22,97,77,257.15,7.7
234,fortuna,40.6,75,87,284.32,4.1
235,kaduy,59.2,91,81,269.3,1.9
236,northam,51.03,7,83,278.33,2.6
237,havelock,34.88,90,58,287.39,8.7
238,ngunguru,-35.62,81,78,291.6,0.89
239,hambantota,6.12,15,78,298.86,4.75
240,kampene,-3.6,100,82,294.25,1.02
241,nizhnevartovsk,60.93,100,96,273.15,3.0
242,fenoarivo,-18.93,75,88,293.15,2.1
243,ganzhou,28.82,0,87,280.86,0.17
244,mar del plata,-38.0,40,55,291.37,7.2
245,labuhan,-6.88,31,83,298.84,1.12
246,chipinge,-20.19,0,65,289.3,1.78
247,larap,14.3,98,84,299.13,3.66
248,qaqortoq,60.72,20,74,275.15,2.6
249,hofn,64.25,88,70,278.13,6.99
250,ribeira grande,38.52,95,67,287.14,12.87
251,dabhoi,22.18,0,42,298.42,0.88
252,torbay,47.67,90,98,274.49,1.5
253,roald,62.58,75,93,277.15,4.1
254,yakeshi,49.28,0,86,267.59,5.21
255,moose factory,51.26,1,64,277.15,5.1
256,leningradskiy,69.38,13,91,259.58,2.41
257,pahrump,36.21,1,18,295.0,1.5
258,forssa,60.81,100,81,275.01,4.6
259,bangsund,64.4,100,49,277.59,10.73
260,carnarvon,-24.87,96,82,293.15,4.6
261,kloulklubed,7.04,75,88,299.15,1.5
262,santa helena de goias,-17.81,39,64,299.09,1.32
263,bang saphan,11.21,0,84,296.75,1.45
264,dengfeng,34.46,0,75,280.43,2.66
265,auki,-8.77,99,77,300.69,0.39
266,oranjemund,-28.55,0,83,288.21,5.04
267,port-gentil,-0.72,57,84,301.0,4.79
268,alice springs,-23.7,40,83,294.15,2.6
269,haines junction,60.75,95,77,261.87,1.84
270,kavieng,-2.57,99,75,301.46,3.33
271,lebu,-37.62,1,69,288.14,8.39
272,mastic beach,40.77,40,72,280.19,3.6
273,san jeronimo,-11.95,87,27,285.43,3.24
274,la spezia,44.11,28,33,279.74,4.1
275,alexandria,31.22,40,72,289.77,7.7
276,gurupa,-1.41,99,93,298.95,0.19
277,casimiro de abreu,-22.48,75,88,298.8,3.1
278,horsham,51.06,1,69,276.4,2.6
279,tocopilla,-22.09,23,36,300.91,5.25
280,ilebo,-4.32,100,81,296.24,0.64
281,sao goncalo dos campos,-12.43,18,72,298.47,3.71
282,bengkulu,-3.8,100,81,298.38,1.49
283,baruun-urt,46.68,0,60,268.69,4.3
284,atar,20.52,100,23,303.22,3.21
285,znamenskoye,57.13,96,94,270.28,2.91
286,pakhni,41.3,100,64,282.44,2.24
287,shingu,33.73,100,87,287.94,6.38
288,high level,58.52,40,51,263.15,5.7
289,muisne,0.6,75,83,301.15,3.1
290,nouadhibou,20.93,100,68,294.15,5.7
291,camacha,33.08,20,62,288.44,6.2
292,yulara,-25.24,96,88,293.15,2.1
293,lompoc,34.64,77,41,297.29,5.7
294,xuddur,4.12,23,56,300.8,5.1
295,dunedin,-45.87,0,78,285.29,1.53
296,huckelhoven,51.05,0,59,275.33,2.42
297,grand forks,47.93,75,57,282.67,6.7
298,caravelas,-17.71,77,84,299.5,4.03
299,prince rupert,54.32,1,45,279.15,3.1
300,fort nelson,58.81,75,56,262.15,2.6
301,barranca,-10.75,73,66,298.07,3.97
302,eravur,7.77,68,75,297.16,0.67
303,doha,25.29,0,31,295.31,3.6
304,goya,-29.14,99,72,298.41,1.59
305,dikson,73.51,100,93,253.97,2.96
306,saint-augustin,51.23,100,87,274.67,8.2
307,okhotsk,59.38,69,93,263.85,1.32
308,tasiilaq,65.61,2,36,271.15,8.7
309,urumqi,43.8,0,28,280.15,2.0
310,rigaud,45.48,20,35,280.13,3.1
311,rio grande city,26.38,1,12,306.59,3.6
312,kibala,9.11,0,38,306.15,1.38
313,joshimath,30.57,100,33,280.77,0.34
314,sahuaripa,29.05,100,9,306.44,1.71
315,caluquembe,-13.78,100,58,289.16,1.07
316,bonavista,48.65,100,84,274.26,0.45
317,mount isa,-20.73,0,60,294.15,2.6
318,mount gambier,-37.83,90,93,282.15,1.0
319,nikolskoye,59.7,40,63,272.09,5.0
320,tecoanapa,16.52,1,51,304.19,6.35
321,gandorhun,7.5,22,73,300.39,2.14
322,riachao,-7.36,98,68,299.77,2.02
323,sisimiut,66.94,91,88,257.96,1.9
324,kitgum,3.28,46,52,296.49,0.7
325,sidi ali,36.1,100,70,287.51,2.35
326,kahului,20.89,40,73,295.11,6.7
327,izhma,65.01,2,95,262.98,1.24
328,blind river,46.18,90,70,279.78,4.6
329,chenzhou,25.8,0,77,280.52,0.16
330,grand gaube,-20.01,20,94,298.5,1.0
331,morrisburg,44.9,1,45,280.78,8.2
332,high rock,26.62,40,70,302.15,7.7
333,kindu,-2.95,100,83,295.14,1.51
334,chute-aux-outardes,49.12,90,86,273.89,2.6
335,ahipara,-35.17,99,73,291.39,2.34
336,sydney,-33.87,90,94,292.52,2.12
337,placido de castro,-10.34,52,62,303.61,0.5
338,sinnamary,5.38,99,81,299.67,6.13
339,rio cuarto,-33.13,40,57,300.15,8.2
340,pacific grove,36.62,1,72,292.95,4.1
341,east london,-33.02,100,84,293.62,9.12
342,kismayo,-0.36,3,77,302.29,4.14
343,koumac,-20.57,37,71,298.01,3.83
344,arman,59.7,20,91,261.69,1.97
345,general roca,-39.03,96,63,292.15,2.1
346,kavaratti,10.57,0,77,301.43,6.36
347,gimli,50.63,18,68,281.07,6.59
348,kruisfontein,-34.0,0,81,288.46,5.45
349,qandala,11.47,3,69,301.83,1.4
350,morehead,37.27,40,50,284.71,5.1
351,mogok,22.92,18,30,292.63,1.17
352,balikpapan,-1.27,99,87,297.73,2.38
353,chernyshevskiy,63.01,0,87,253.11,3.02
354,aksu,41.12,99,35,281.64,2.63
355,half moon bay,37.46,75,82,291.49,6.2
356,barra do garcas,-15.89,20,62,305.15,1.26
357,aklavik,68.22,5,36,263.37,6.2
358,vestmanna,62.16,100,87,280.15,12.9
359,karratha,-20.74,100,27,302.22,4.03
360,bakel,14.9,22,13,308.46,4.26
361,montes altos,-5.83,40,70,303.15,2.6
362,isangel,-19.55,94,84,299.54,7.67
363,paita,-5.09,21,61,299.53,6.79
364,tezu,27.92,67,36,294.12,1.52
365,morondava,-20.28,0,75,298.36,3.43
366,manzanillo,20.34,0,55,302.28,4.96
367,shrigonda,18.62,7,23,300.66,3.3
368,san jose,37.34,20,48,292.14,5.1
369,urdoma,61.75,2,93,264.64,1.32
370,kapuskasing,49.42,90,64,277.15,2.6
371,mandalgovi,45.76,0,47,268.57,3.72
372,singkang,2.1,20,83,298.93,1.0
373,palmer,42.16,90,52,281.1,5.1
374,buala,-8.14,100,78,301.07,2.62
375,akalgarh,29.82,3,56,291.96,2.21
376,boyolangu,-8.12,100,82,298.13,0.53
377,osterburg,52.78,0,66,272.77,2.34
378,maceio,-9.67,20,78,301.15,5.1
379,bullas,38.05,37,84,285.62,1.79
380,terekli-mekteb,44.17,42,68,283.93,5.61
381,north myrtle beach,33.82,90,72,288.45,6.7
382,janow lubelski,50.71,10,92,272.51,2.6
383,brigantine,39.41,90,75,279.76,2.6
384,vila franca do campo,37.72,20,62,286.15,5.1
385,morant bay,17.88,75,62,301.85,6.2
386,talnakh,69.49,75,92,261.15,10.0
387,evensk,61.95,100,92,260.03,1.66
388,litovko,49.24,0,87,272.43,4.11
389,warrington,53.39,75,75,279.57,4.1
390,severo-yeniseyskiy,60.37,99,95,268.52,1.41
391,wanning,18.8,35,90,297.85,2.65
392,kirakira,-10.45,100,86,299.7,4.42
393,deer lake,49.17,90,89,274.99,8.2
394,broken hill,-31.95,95,42,292.15,8.2
395,paamiut,61.99,0,93,267.23,9.73
396,longyearbyen,78.22,20,84,254.15,1.0
397,bodden town,19.28,20,70,301.91,3.1
398,snezhnogorsk,69.19,40,85,267.15,5.0
399,emporia,38.4,20,45,291.14,3.6
400,ust-tsilma,65.44,29,96,263.06,1.18
401,clyde river,70.47,90,77,256.15,9.3
402,porto novo,6.5,40,88,301.15,5.1
403,warmbad,-28.45,0,34,290.56,3.88
404,flinders,-34.58,75,100,292.55,2.1
405,qarqin,37.42,100,64,288.5,7.06
406,anage,-14.61,31,63,298.15,2.67
407,sorong,-0.88,82,86,299.23,3.11
408,esil,51.96,89,91,268.52,4.64
409,lulea,65.58,90,69,275.15,3.1
410,chifeng,42.27,0,52,272.71,4.01
411,brawley,32.98,1,27,298.25,2.1
412,praia da vitoria,38.73,40,71,287.15,10.87
413,shemgang,27.22,43,34,284.83,1.45
414,ambilobe,-13.2,71,89,297.95,0.89
415,tokmak,47.25,45,72,276.14,4.44
416,jalu,29.03,0,55,289.17,5.33
417,lagoa,39.05,100,68,287.23,12.36
418,noumea,-22.28,4,69,297.15,0.5
419,suoyarvi,62.08,100,96,270.2,6.3
420,bambanglipuro,-7.95,100,81,298.41,0.99
421,tomatlan,19.93,57,38,304.29,4.39
422,tual,-5.67,100,71,302.69,1.9
423,iskateley,67.68,1,95,259.28,1.55
424,mongo,12.18,0,12,302.57,2.51
425,whitehorse,60.72,75,36,263.39,5.1
426,biloela,-24.42,0,76,293.66,1.25
427,varzob,38.77,90,93,283.15,2.0
428,poum,-20.23,39,77,298.47,7.15
429,tabas,33.6,0,31,287.56,0.15
430,bandarbeyla,9.49,14,77,300.12,3.93
431,tripoli,32.88,0,67,289.74,5.6
432,turukhansk,65.82,79,95,258.42,2.74
433,nioro,13.35,45,19,305.29,3.86
434,samdari,25.82,0,31,298.85,2.98
435,paso de los toros,-32.82,75,61,298.15,6.7
436,kumluca,36.37,100,66,287.49,3.64
437,amahai,-3.33,92,77,300.09,2.31
438,diffa,13.32,100,27,304.77,1.86
439,walvis bay,-22.96,0,90,288.15,0.89
440,peace river,56.25,90,71,259.15,6.7
441,umm kaddadah,13.6,12,12,301.49,5.28
442,tandil,-37.32,45,61,291.48,0.89
443,kutum,14.2,23,14,295.12,1.63
444,rocha,-34.48,94,73,293.05,5.47
445,yamada,39.47,100,86,282.59,4.14
446,campina grande do sul,-25.31,42,69,297.27,3.1
447,moen,69.13,100,74,271.15,11.3
448,markova,48.68,0,75,270.27,1.07
449,kaeo,-35.1,98,91,290.63,1.79
450,rethimnon,35.36,20,93,286.31,2.1
451,makakilo city,21.35,75,78,297.91,4.1
452,nome,64.5,90,92,268.44,3.6
453,husavik,66.04,75,52,278.15,19.0
454,mana,5.66,100,79,299.36,4.5
455,dubbo,-32.25,0,93,289.15,4.6
456,richards bay,-28.78,100,70,297.94,6.24
457,ndola,-12.96,1,65,290.68,2.1
458,abashiri,44.02,100,81,278.45,4.98
459,villafranca de los barros,38.56,1,81,281.5,1.5
460,palu,-0.89,94,80,297.19,0.96
461,burnie,-41.07,12,77,286.48,0.45
462,somvarpet,12.6,3,48,293.23,1.1
463,fairbanks,64.84,1,32,268.41,5.1
464,luau,-10.71,10,63,293.13,1.21
465,moses lake,47.13,90,49,283.56,4.32
466,ponta delgada,37.73,20,62,286.15,5.1
467,otane,-39.88,0,96,285.93,1.23
468,hervey bay,-25.3,20,94,294.15,3.1
469,hudiksvall,61.73,31,83,275.06,4.7
470,margate,51.38,0,80,277.28,1.5
471,soyo,-6.13,61,85,300.45,3.02
472,anadyr,64.75,75,79,271.65,12.0
473,pampierstad,-27.78,36,57,290.69,1.99
474,bowen,-20.02,48,94,295.28,2.1
475,muros,42.78,20,93,281.42,3.1
476,inhambane,-23.86,0,70,296.56,4.07
477,sabla,12.75,84,15,305.73,2.42
478,iqaluit,63.75,20,58,254.15,1.5
479,raga,8.46,0,18,300.24,1.28
480,tadine,-21.55,68,78,297.94,7.34
481,faya,18.39,0,67,289.65,3.6
482,rokytne,51.28,71,80,272.9,1.99
483,ostersund,63.18,8,87,273.32,10.3
484,hounde,11.5,100,11,309.44,2.13
485,isabela,6.71,75,94,298.15,1.0
486,kastamonu,41.5,99,60,278.22,1.58
487,srednekolymsk,67.45,45,88,255.96,0.95
488,lata,40.16,20,87,278.7,2.1
489,toamasina,-18.17,75,94,298.15,3.64
490,tarakan,3.3,68,86,298.34,2.5
491,miles city,46.41,90,86,278.15,2.6
492,belmonte,-15.86,20,74,300.15,3.6
493,roma,43.21,90,53,282.65,3.1
494,mankono,8.06,88,53,302.36,2.15
495,biltine,14.53,5,13,301.27,1.74
496,tignere,7.37,100,42,298.06,1.76
497,bahjoi,28.4,0,37,296.07,3.58
498,zeya,53.75,86,93,266.43,1.47
499,brentwood,40.78,75,61,280.49,1.5
500,thinadhoo,0.53,94,70,301.35,4.52
501,shubarkuduk,49.14,94,62,278.39,1.25
502,turiacu,-1.66,100,90,299.1,1.17
503,yar-sale,66.83,25,92,259.69,3.84
504,boguchany,58.38,97,85,275.52,4.52
505,nhulunbuy,-12.23,97,94,298.15,4.0
506,bhadrachalam,17.67,8,58,300.24,1.32
507,kjustendil,42.28,100,85,274.26,2.24
508,pitimbu,-7.47,20,83,300.15,3.1
509,arlit,18.74,9,10,304.98,5.11
510,muswellbrook,-32.27,62,88,293.71,0.45
511,aksarayskiy,46.79,85,62,286.04,7.0
512,taywarah,33.35,57,40,272.53,0.87
513,pemberton,50.32,75,48,280.15,3.1
514,clarksburg,39.28,90,63,281.31,2.1
515,coxim,-18.51,10,65,302.42,0.93
516,kushmurun,52.45,99,91,270.38,3.87
517,tupik,54.43,100,88,267.06,2.76
518,mazatlan,23.22,75,42,299.28,2.6
519,anderson,34.53,90,67,286.17,4.6
520,deputatskiy,69.3,4,82,249.65,0.85
521,vestmannaeyjar,63.44,95,77,278.49,12.03
522,araouane,18.9,1,12,301.91,3.44
523,maragheh,37.39,100,75,278.15,3.1
524,teluknaga,-6.1,40,83,298.27,2.1
525,copenhagen,55.68,100,79,277.99,7.2
526,narrabri,-30.32,0,87,290.15,2.1
527,lardos,36.09,20,87,288.64,5.1
528,pavlovsk,50.46,5,84,273.39,5.07
529,hobyo,5.35,90,73,302.29,5.47
530,jakar,27.55,94,32,280.3,0.29
531,glenwood springs,39.55,40,26,286.26,8.2
532,vaitape,-16.52,0,77,301.64,5.0
533,kulmbach,50.1,1,63,269.75,1.48
534,bacolod,10.67,69,72,298.19,3.25
535,pandan,14.05,99,79,299.9,2.45
536,meulaboh,4.14,32,85,299.3,1.29
537,hailar,49.2,0,81,269.57,5.79
538,sri aman,1.24,99,100,298.15,0.32
539,maun,-19.98,78,73,296.15,2.1
540,rochester,43.15,90,86,278.18,5.7
541,zhangye,38.93,44,45,273.95,0.97
542,xining,36.62,99,38,272.11,1.46
543,yurkivka,49.01,0,84,272.33,2.14
544,north platte,41.12,40,19,294.22,8.2
545,jining,35.41,60,85,281.95,1.92
546,nara,34.69,75,82,287.23,7.2
547,mitsamiouli,-11.38,17,76,301.95,3.41
548,albanel,48.88,20,28,281.15,1.53
549,wanlaweyn,2.62,40,69,301.79,5.64
550,hudson bay,52.85,100,80,275.56,2.17
551,ostrovnoy,68.05,100,91,267.46,7.84
552,the valley,18.22,20,57,300.11,3.6
553,kosovo polje,42.64,75,80,272.34,3.6
554,tura,25.52,0,26,293.42,0.78
555,henties bay,-22.12,0,90,288.15,0.89
556,liverpool,53.41,75,75,279.84,4.1
557,gonen,40.1,75,87,281.31,11.8
558,port augusta,-32.5,90,82,291.39,2.1
559,shirokiy,49.76,85,81,272.63,4.37
560,soe,-9.86,98,79,291.67,0.55
561,ust-maya,60.42,24,91,260.05,1.78
562,vaijapur,19.92,34,15,300.18,2.76
563,ipira,-12.16,62,59,300.29,3.58
564,dongsheng,39.82,100,42,272.22,6.74
565,roblin,51.23,100,79,279.87,4.24
566,sept-iles,50.2,90,48,278.15,6.2
567,sur,22.57,15,62,297.69,2.39
568,lyantonde,-0.4,91,61,292.21,0.45
569,bealanana,-14.55,87,70,292.35,0.71
570,eureka,40.8,90,81,284.22,5.1
571,porto santo,33.07,20,62,288.45,6.2
572,safford,32.83,1,20,295.39,2.6
573,kampong thum,12.71,21,66,300.09,4.77
574,kysyl-syr,63.9,98,95,262.77,2.52
575,alugan,12.22,67,76,299.77,2.56
576,mingshui,36.72,61,45,284.01,5.45
577,tulagi,-9.1,75,88,299.15,2.1
578,jurado,7.11,99,75,301.17,2.46
579,nuevo laredo,27.48,40,10,306.5,2.6
580,kalmunai,7.42,39,70,298.65,2.01
581,williams lake,52.14,75,62,266.15,4.6
582,orlik,52.52,37,74,262.61,1.58
583,kushiro,42.98,100,86,279.79,7.24
584,mehtar lam,34.67,1,100,283.15,0.68
585,valenca,-13.37,55,85,298.18,1.56
586,barcelona,41.39,20,76,284.26,7.7
